name,year,geoid,data_id,deltap,deltapcp,HPI,geo,ua,popu,area,popdse,logpop,logpopdse
42007_2011,2011,42007,0,0.1987030529816724,0.5036513541538362,0.2820393838638325,-0.28365683772337874,-1.5347104546435735,-0.43140824498716246,-0.43469782511053934,-0.17070138613953134,-0.32751409089355293,0.22538455515384778
17041_2011,2011,17041,1,1.15125124910246,1.7247240479181931,0.3272664095579396,-0.8982092673140016,-0.48572094398133003,-0.6202640297151656,-0.44687188737651684,-0.9453313814195901,-2.1414300335582603,-2.0612243069195437
4021_2011,2011,4021,2,0.1582601502231099,0.5376635529738191,-1.6538979354814896,-1.124091883243298,-1.648308369525533,-0.17090708288798417,1.8303898321178171,-0.8926796494956554,0.3445138606385542,-1.631205348269263
17147_2011,2011,17147,3,0.7030674410495397,1.0769116697779482,0.3085137403677009,-0.8998676150486384,-1.2012483167489998,-0.6241978457606179,-0.43634706595944983,-0.9674255931251967,-2.286653831792107,-2.308147525704021
37021_2011,2011,37021,4,0.3282637471648467,0.21090752826195117,1.4562874046291299,-0.46379568477694966,-0.8080833838528453,-0.342383077657524,-0.33541719848784357,-0.21246865225433792,-0.033894578202961816,0.17242351736528455
37025_2011,2011,37025,5,0.3380971480817381,0.07966486004559321,-0.3869896669526564,1.5035877375883318,0.6354469547473257,-0.41770511792067005,-0.4709535608387851,0.08936058086482543,-0.2751135895195234,0.5075658837036555
39085_2011,2011,39085,6,0.6825393408144211,1.0080613886901073,-1.1779110675057027,-0.307572702510041,0.5778725124743151,-0.3568965507588897,-0.18888283410525494,-0.5140945530799377,-0.07531775689853762,-0.3127145854019024
37179_2011,2011,37179,7,0.9590778172972048,0.7432743267279965,-0.41346402345652356,1.5601151620070064,0.3331660501644575,-0.38789918582373417,-0.34479352345125414,-0.3162602151455551,-0.17127079120180225,0.02851713170190351
37159_2011,2011,37159,8,-0.2031244037375926,0.10642445714610066,-0.4366290853974077,1.2104905759046383,-1.8650720379300083,-0.47202589918095833,-0.3979689087677133,-0.4479739114486969,-0.5052449402986192,-0.18645531257294007
42129_2011,2011,42129,9,0.5639585769982227,0.8990868403283535,0.3311272532147545,-0.40912313996137983,-0.17037023207533897,-0.1878139619251671,-0.1624949798087825,-0.24449765243145086,0.31390362854765175,0.12999987053295403
42125_2011,2011,42125,10,0.7381183113484758,0.9974260206452739,0.6499226294488267,-0.3794802029250344,0.19157624945422086,-0.38411966167037076,-0.24310105424018486,-0.4980504754042177,-0.158971750688394,-0.28071298316901233
45091_2011,2011,45091,11,1.0450145309145162,0.8384583981160326,-0.18788044407981822,1.8181381886863237,-0.08419438157280604,-0.35637597242379315,-0.3190074813407596,-0.29263757478639,-0.07379623645763535,0.062972889784591
39103_2011,2011,39103,12,0.7435043882245699,0.8449771459286815,-1.059328012332129,-0.25684302352431987,0.4716757480584644,-0.42754342125118083,-0.444257909563647,-0.11045307150445545,-0.31240241728905727,0.2975288593933735
45057_2011,2011,45057,13,1.114282744602177,1.0576082012665402,-0.04668387605919032,1.7811243917880633,0.46521908389913613,-0.547593802946945,-0.3835300115765101,-0.7321911199318659,-0.9889651403216297,-0.8779415917293589
17019_2011,2011,17019,14,-0.3742558353297695,-0.36377220008752115,0.5682933635619019,-0.8928387861626635,1.174628880930644,-0.3908834168097453,-0.18036558447061793,-0.5867031775277352,-0.1811102059097143,-0.47053152131803505
37109_2011,2011,37109,15,0.529156885766438,0.7472220673068249,-0.03841063965173136,1.150597729388465,-0.7281436642664375,-0.5466078401243285,-0.4975803024242705,-0.4655423854610482,-0.9804842055901919,-0.21860746776734066
32003_2011,2011,32003,16,-0.18759514005680214,-0.20837963933737932,-1.786269718000828,-1.1339381851666925,1.4055899873570916,1.8226520417838283,3.0783736328990665,-0.4946422951476925,1.7352690808016389,-0.27403387937342705
39153_2011,2011,39153,17,-0.07381346188629508,0.1894626031223286,-1.1812203620686856,0.01575273695789039,0.7171009153290396,0.033858328403944496,-0.4456498871507783,1.913143274480871,0.6471575115143976,1.5506337058869752
4013_2011,2011,4013,18,0.3930851145323148,0.23246003675188828,-0.7725224835402283,-1.1242285152277156,1.185680925389284,4.211877043647157,3.5992443343079907,-0.08789065301961081,2.306194104222585,0.32336732963494036
37119_2011,2011,37119,19,1.0480950644586515,0.5177744852452295,-0.18346805132917288,1.8335690081133276,1.4981473304972368,0.5404211894329131,-0.3860934555535099,2.905298809309385,1.117117172057948,1.866216183188797
42003_2011,2011,42003,20,0.194227033856583,0.3409390414310802,0.7221755607406328,-0.2597778200027684,1.560614623670056,0.8948773329748123,-0.29651532696464067,2.742436530187633,1.337678079953532,1.8202627183376188
39093_2011,2011,39093,21,0.71318269712291,0.9495771939426755,-1.4514794180456683,-0.3951910175054568,0.7155365261615145,-0.2663924391953264,-0.2145769965898846,-0.3013038989837587,0.15493552894350718,0.05045792168332119
36019_2011,2011,36019,22,-1.204686224280848,-0.9547954083445263,1.901387523350405,-1.031079132248753,-1.7690794444686426,-0.5424532486885703,-0.12518262737172894,-0.8860170239558367,-0.9456561646956471,-1.5871098193835316
42029_2011,2011,42029,23,0.3239347385936903,0.3212828724263764,1.7066906932282109,-0.8666260897231504,-0.2592745610910285,-0.013280980643265277,-0.28956462647994075,0.47220003755442985,0.5864870097791924,0.8234188188541689
39133_2011,2011,39133,24,0.5356400320860618,0.713980003270428,-1.0229257721393106,-0.01763599792778938,0.699698430684318,-0.44204058707939886,-0.40566383501910974,-0.3193636370864748,-0.37054129088956633,0.023908795593622537
