GEOID,UA
32003,3.1909702701932448
42125,2.482475628002332
37119,3.2789502272077633
39035,3.2020900241075236
37179,2.6223749092785
4013,3.0180047263334857
42003,3.2242013188146177
17019,3.0484612784754717
39153,2.794182790147002
37071,2.8293661472646257
39093,2.7305782371333702
55025,3.25482904372364
37025,2.7897988256783846
39133,2.609835877616898
39103,2.8912087718467863
39085,2.753887383003071
42007,1.8196456039099018
45091,2.6509011324832477
39055,2.5575187753697666
42129,2.402768642986459
45057,2.5138765396618146
4021,2.0263236314769664
36019,1.6178726179342775
17041,2.0875700849302823
37109,0.8146222818523512
37159,1.7023455579411804
17147,1.8151673481372381
55127,0.0
42019,0.0
42029,2.109799379991088
24510,0.0
42091,0.362210557135449
37021,1.099158671057802
21037,0.0
32005,0.0
39131,0.0
42081,0.0
18097,0.0
37081,0.0
21089,0.0
17031,0.0
4007,0.0
