deltap,deltapcp,name,year,geoid,HPI,geo,ua,popu,data_id,area,popdse,logpop,logpopdse
0.040257789,0.044023358,42129_2012,2012,42129,1.2295,0.091702774,2.074794869,363.252,38,400.1791513,0.90772345,5.895096808,-0.096815517
0.041382034,0.039551292,42125_2012,2012,42125,1.2865,0.095186197,2.414650874,208.436,39,332.433716,0.627000181,5.33963204,-0.46680845
0.075922388,0.055873597,45091_2012,2012,45091,1.1158,0.353434374,2.805720967,234.558,40,268.6381028,0.873137494,5.457702892,-0.135662239
0.03938891,0.03810346,39103_2012,2012,39103,0.9612,0.109597629,2.674343099,173.674,41,163.3712871,1.06306318,5.157179979,0.061154533
0.062577828,0.043558301,45057_2012,2012,45057,1.1329,0.349084781,2.053143836,79.169,42,214.4100942,0.369241011,4.371584808,-0.996305701
0.029447081,0.022381544,17019_2012,2012,17019,1.2628,0.034860019,3.014301868,204.08,43,385.1597883,0.529858013,5.318512074,-0.635146209
0.060577037,0.054866121,37109_2012,2012,37109,1.1385,0.27498986,1.039720771,78.963,44,118.5564423,0.666037193,4.368979388,-0.406409765
0.071439388,0.054886065,32003_2012,2012,32003,0.8521,0.006527766,3.210254848,1998.204,45,3123.969591,0.639636188,7.600004056,-0.446855721
0.021925328,0.022100662,39153_2012,2012,39153,0.9242,0.141631106,1.698999017,541.192,46,162.2013985,3.336543366,6.293774114,1.204935351
0.058665142,0.03895931,4013_2012,2012,4013,1.1131,0.007668776,3.051507378,3945.46,47,3561.73576,1.107735179,8.28032083,0.102317552
0.202762702,0.173797971,37119_2012,2012,37119,1.1119,0.355247692,2.727519955,968.428,48,212.2556458,4.562554727,6.875674138,1.517882714
0.037083544,0.034386868,42003_2012,2012,42003,1.3067,0.109252753,3.325281242,1230.881,49,287.5416507,4.280705062,7.115485452,1.45411773
0.038372553,0.039313113,39093_2012,2012,39093,0.8803,0.093339976,2.749889632,301.652,50,356.4067815,0.846369979,5.709274035,-0.166798688
0.032863643,0.032717529,36019_2012,2012,36019,1.4711,0.018615016,1.459359412,81.863,51,431.5383457,0.189700407,4.405047118,-1.662309254
0.058848356,0.053154342,42029_2012,2012,42029,1.4447,0.037940345,1.983733423,506.428,52,293.3833721,1.72616463,6.227382162,0.54590197
