,2009,2010,2011,2012,2013,2014,2015
77. (Rental And Leasing Activities),65049476,118043236,119407950,142395195,206490042,317329797,352245050
78. (Employment Activities),195082737,254200465,279876567,379859482,492797958,664470155,661307306
"79. (Travel Agency, Tour Operator And Other Reservation Service And Related Activities)",174669673,174925599,259439915,286332357,409814431,507465856,500959091
80. (Security And Investigation Activities),617846908,747027501,922200162,1198757788,1656176018,1659192213,2063227572
81. (Services To Buildings And Landscape Activities),978916572,1367887665,1687960473,2084155609,2505211857,3047544455,3551365750
"82. (Office Administrative, Office Support And Other Business Support Activities)",399104471,515171315,629115984,781152045,918705866,1212452702,1375020705
84. (Public Administration And Defence; Compulsory Social Security),,,,,(1)*,(1)*,
85. (Education),1292656985,1617921342,1788725723,2266842564,2762291543,3316057256,3764345949
86. (Human Health Activities),1090675566,1233662693,1433860752,1928226457,2246738506,2707346001,3117614443
87. (Residential Care Activities),6854893,6659935,8502431,14239249,31619437,36880972,47931064
88. (Social Work Activities Without Accommodation),56919593,81703113,109740357,143823101,156298388,128388227,165087498
"90. (Creative, Arts And Entertainment Activities)",36269768,44827100,53247358,60687282,61703889,96786653,228997497
"91. (Libraries, Archives, Museums And Other Cultural Activities)",6460887,10526814,13514410,20557410,19660891,28258956,28339142
92. (Gambling And Betting Activities),25783214,50336185,56812405,69508333,70691703,124682064,109032604
93. (Sports Activities And Amusement And Recreation Activities),188547397,190388994,337276268,412594915,714452511,746753447,617674822
94. (Activities Of Membership Organisations),,,,,(1)*,,
95. (Repair Of Computers And Personal And Household Goods),93376435,114172303,99052041,217953504,(1)*,232628481,270898106
96. (Other Personal Service Activities),105201320,121699346,181449946,190727177,326334365,445250631,399760726
"A. (Agriculture, Forestry And Fishing)",,(1)*,,(1)*,(1)*,4687874,1832058
B. (Mining And Quarrying),100977737,209593346,243328042,(1)*,205596584,224644744,247527283
C. (Manufacturing),11963703127,13750957486,15773531014,18514683200,20624496221,23631705795,26903377858
"D. (Electricity, Gas, Steam And Air Conditioning Supply)",369461597,(1)*,575250328,550840938,811506686,784517937,785785220
"E. (Water Supply; Sewerage, Waste Management And Remediation Activities)",535746358,625540585,736328919,912826313,1059366106,1214717464,1556226145
F. (Construction),2025989411,2624254281,3361753532,4442679713,5563278313,6744787660,7771663915
G. (Wholesale And Retail Trade; Repair Of Motor Vehicles And Motorcycles),9127433255,10517308974,12270802013,14948604740,18284236101,20199643868,21778072054
H. (Transportation And Storage),4316599459,5229881642,6781965126,6799153961,8441147733,9344420795,10897332017
I. (Accommodation And Food Service Activities),1474758345,2120251104,2680922985,3333481163,4309291997,4986493937,5815509709
J. (Information And Communication),2315500982,2538846987,2964554568,3646345622,4057484658,5296019394,5390098965
