GeoFIPS,GeoName,income2010,income2011,income2012,income2013,income2014,income2015,incomePer2010,incomePer2011,incomePer2012,incomePer2013,incomePer2014,incomePer2015,pop2010,pop2011,pop2012,pop2013,pop2014,pop2015
45073,"Oconee, SC",2366466,2549065,2589082,2618309,2738950,2858965,31826,34338,34701,34933,36407,37761,74357,74234,74612,74952,75232,75713
45075,"Orangeburg, SC",2470658,2543832,2559251,2574727,2641440,2727798,26770,27734,28000,28413,29374,30578,92291,91721,91401,90619,89924,89208
45077,"Pickens, SC",3384313,3562945,3719029,3782616,3940432,4126621,28389,29834,31077,31731,32668,33911,119212,119427,119670,119208,120622,121691
45079,"Richland, SC",13578225,14217426,14746444,15054812,15828677,16699290,35196,36490,37467,37860,39415,41025,385789,389621,393589,397645,401591,407051
45081,"Saluda, SC",574114,574034,587977,604746,612815,643961,28853,28898,29447,30100,30599,32113,19898,19864,19967,20091,20027,20053
45083,"Spartanburg, SC",9062655,9616637,10329742,10062058,10891378,11501469,31824,33609,35808,34606,37104,38686,284777,286133,288473,290757,293536,297302
45085,"Sumter, SC",3250020,3458443,3723556,3750583,3848783,3958886,30213,32215,34453,34716,35657,36834,107571,107355,108075,108035,107940,107480
45087,"Union, SC",751090,767479,768238,774447,806282,836498,25985,26787,27220,27632,28850,30115,28905,28651,28223,28027,27947,27777
45089,"Williamsburg, SC",819428,872439,852794,859204,872150,899159,23862,25561,25366,25926,26622,27637,34340,34132,33620,33140,32761,32535
45091,"York, SC",7478464,8041923,8652485,8765808,9359461,9992132,32957,34936,36888,36629,38183,39778,226917,230190,234558,239313,245124,251195
46000,South Dakota state total,33520714,36791498,37583819,37709126,39222985,41104237,41064,44634,45030,44612,45966,47881,816299,824289,834631,845270,853304,858469
46003,"Aurora, SD",101008,142406,116769,149941,130254,128235,37410,52471,42523,55308,47486,46921,2700,2714,2746,2711,2743,2733
46005,"Beadle, SD",684281,872315,793705,814230,837450,920189,39279,49167,44002,44293,45752,50086,17421,17742,18038,18383,18304,18372
46007,"Bennett, SD",91093,95239,102770,94401,103536,100852,26450,27686,29866,27315,30168,29463,3444,3440,3441,3456,3432,3423
46009,"Bon Homme, SD",219632,270857,253538,278096,246981,247485,31131,38545,36019,39688,35243,35431,7055,7027,7039,7007,7008,6985
46011,"Brookings, SD",1136842,1270837,1319070,1323288,1399410,1485181,35507,39552,40335,39971,41906,43815,32017,32131,32703,33106,33394,33897
