district_id,composite_demographic_inflow_entropy,composite_demographic_inflow_num_unique,composite_demographic_inflow_total,destination_entropy,destination_num_unique,destination_total
2,6.445801999343827,2438,34580,2.3347859369670703,36,39907
4,6.654869342640476,3137,107647,1.8426052549942247,35,79520
9,6.0169904134362024,2373,31472,2.010266141000897,36,36520
12,6.5191452272527055,2555,26844,2.1210672917040165,36,27833
15,5.010023800164104,520,5273,2.1347563613579337,35,9885
17,7.309953607848376,4696,78250,2.2153654354066608,36,36941
31,5.371413935140732,1354,16727,1.2301958404463547,36,15386
33,6.600851849814417,2956,49095,2.247629967754692,36,36832
34,7.040921312185973,4157,88738,1.9084950437484571,36,48742
38,5.982230838414777,1423,19035,2.3088038139041607,36,27998
42,6.348728729966581,2832,81655,1.9279095855975132,36,85972
50,6.551031664645887,3596,125604,1.8432241844139572,36,121054
53,6.461166335584133,2671,40285,2.453396753739983,36,47307
59,6.072100934307397,2578,60127,1.8344773810627337,36,81477
60,6.192036554259111,2378,46734,1.9787513239206753,36,54586
61,6.588242201907246,3779,84172,2.0359822410306854,36,91318
63,6.502252654888371,3619,122525,1.8466759844762923,36,122516
65,6.474382481531073,2785,58379,1.802442393501209,36,50992
70,7.048617899048771,3892,87509,1.801258074579514,36,45512
77,6.597636524555457,3206,65118,2.310935793268335,36,64851
79,5.961728991927712,1556,20053,2.4067456404542646,36,34916
81,6.443439423598066,3133,57016,2.321864067409819,36,80415
82,6.1189088461302505,2536,64733,2.070256393133389,36,79289
84,6.863312642467475,3832,39819,2.501251482340019,36,41970
86,5.520013432526653,1126,16105,2.3989792401115477,36,41152
87,5.831935858630121,1530,10323,2.127255880807828,36,18401
88,6.117587347176727,2286,46685,2.1546325752214224,36,55992
96,5.801214275857454,2058,47591,1.8964337609121515,36,72012
98,5.2860841410399075,979,12691,1.8555528978763598,36,16911
100,5.982955633289973,2156,64682,2.102964637199595,36,86094
115,7.383223617200269,5586,173843,1.7719951954587805,36,73018
120,6.309398837858704,2205,46725,2.1804433704194177,36,40712
121,5.849979417187627,2870,99701,1.8379884512504414,36,126124
123,6.212120269479894,3432,84059,1.8149739959462228,36,100502
141,5.668121348003718,1114,15292,2.1815551322189233,36,30748
160,6.335755310807334,3154,94405,1.8859718947217186,36,100087
