,district_id,entropy_out,entropy_in
0,1,2.199333979877126,6.401988412602616
1,2,2.3482845708568263,7.383732759965067
2,4,1.8538644965364774,7.9657531081937725
3,9,2.0143393791728244,6.742864011579924
4,12,2.129203240924307,7.320323490782643
5,15,2.156474867105943,5.382158983467369
6,17,2.229088912177639,8.099563295382602
7,31,1.2363381597439802,5.7534296945641525
8,33,2.2766734730891214,7.290536743656148
9,34,1.918751917925234,8.209402635108368
10,38,2.313902970938524,6.802468977412344
11,42,1.959846907062856,7.657552962208753
12,50,1.854625454765984,7.879325757637747
13,53,2.491613858692265,7.448307484455884
14,59,1.846407701742739,7.145696873707374
15,60,2.0086385346096485,7.179864603924633
16,61,2.0456764725262873,7.877607565563414
17,63,1.8615012742745707,7.935379020816889
18,65,1.8097416691029258,7.566523760323722
19,70,1.8171294681681553,8.266099413752828
20,77,2.329193027632901,7.74901715853111
21,79,2.426041320886855,6.946085774747289
22,81,2.338047003975131,7.638778222738859
23,82,2.0819156321140238,7.444748814135465
24,84,2.519556484312566,7.690567579644788
25,86,2.423594527741789,6.628638466095458
26,87,2.137208859152211,6.299366007474809
27,88,2.176708456318164,7.310709031516854
28,96,1.9077753709315541,7.007486217539026
29,98,1.8590814869752406,6.034145968089954
30,100,2.123833633749731,7.383790811136945
31,111,1.9276582622331375,3.782241327176136
32,115,1.785107207318004,8.511848685764338
33,120,2.197184742455382,7.449445919370292
34,121,1.8500636408351538,7.285615178246719
35,123,1.825376863120868,7.4380941930893005
36,131,1.7214184806792745,4.962783342618686
37,141,2.189901502875488,6.4461954395913725
38,160,1.8984324023393495,7.618422573810671
