1,2,22.67
1,4,40.189
1,9,33.704
1,12,25.561
1,15,21.354
1,17,27.436
1,31,39.868
1,33,28.969
1,34,25.007
1,38,47.898
1,42,16.285
1,50,36.677
1,53,12.07
1,59,28.477
1,60,20.363
1,61,33.394
1,63,39.192
1,65,56.671
1,70,21.544
1,77,18.463
1,79,20.117
1,81,22.175
1,82,21.078
1,84,27.516
1,86,16.174
1,87,63.522
1,88,19.8
1,96,50.773
1,98,52.739
1,100,20.613
1,111,47.79
1,115,27.031
1,120,19.693
1,121,18.737
1,123,25.684
1,131,77.746
1,141,44.647
1,160,44.85
2,4,20.151
2,9,21.048
2,12,2.9954
2,15,39.446
2,17,8.4264
2,31,53.667
2,33,13.185
2,34,4.1567
2,38,29.425
2,42,17.48
2,50,15.809
2,53,10.939
2,59,18.949
2,60,26.457
2,61,14.446
2,63,20.88
2,65,35.584
2,70,4.1545
2,77,4.2544
2,79,3.36
2,81,3.127
2,82,8.3656
2,84,6.6376
2,86,9.6658
2,87,42.303
2,88,13.653
2,96,29.393
2,98,33.517
2,100,6.5131
2,111,25.468
2,115,11.399
2,120,19.446
2,121,7.2449
2,123,11.832
2,131,65.491
2,141,27.28
2,160,23.566
4,9,13.732
4,12,17.473
4,15,59.205
4,17,12.889
4,31,73.841
4,33,12.035
4,34,21.295
4,38,9.6484
4,42,37.606
4,50,4.5788
4,53,30.139
4,59,17.746
4,60,46.514
4,61,6.862
4,63,4.1143
4,65,16.628
4,70,19.187
4,77,23.849
4,79,21.125
4,81,22.745
4,82,19.202
4,84,13.622
4,86,24.094
4,87,23.492
4,88,33.327
4,96,11.189
4,98,13.375
4,100,19.656
4,111,11.857
4,115,13.582
4,120,39.278
4,121,27.346
4,123,15.302
4,131,47.936
4,141,8.9073
4,160,5.8293
9,12,19.859
9,15,54.637
9,17,13.093
9,31,71.583
9,33,7.9336
9,34,24.319
9,38,16.293
9,42,36.872
9,50,14.499
9,53,26.962
9,59,5.6174
9,60,45.772
9,61,10.26
9,63,9.978
9,65,28.084
9,70,17.631
9,77,22.719
9,79,19.743
9,81,24.147
9,82,14.681
9,84,15.69
9,86,18.742
9,87,34.498
9,88,34.211
9,96,23.98
9,98,21.405
9,100,16.336
9,111,25.577
9,115,9.6436
9,120,39.571
9,121,27.526
9,123,9.6265
9,131,45.323
9,141,12.371
9,160,19.447
12,15,42.408
12,17,6.7967
12,31,56.373
12,33,11.941
12,34,4.4933
12,38,26.895
12,42,20.138
12,50,13.03
12,53,13.925
12,59,18.571
12,60,29.035
12,61,12.196
12,63,18.532
12,65,32.656
12,70,5.3281
12,77,7.2316
12,79,5.6776
12,81,5.2751
12,82,9.1624
12,84,4.4193
12,86,11.69
12,87,39.354
12,88,15.938
12,96,26.448
12,98,30.833
12,100,7.6517
12,111,22.48
12,115,10.46
12,120,21.851
12,121,9.8915
12,123,11.349
12,131,63.578
12,141,24.972
12,160,20.648
15,17,46.283
15,31,19.467
15,33,48.957
15,34,39.895
15,38,67.647
15,42,23.727
15,50,54.987
15,53,29.003
15,59,49.585
15,60,18.096
15,61,52.605
15,63,58.84
15,65,74.886
15,70,39.942
15,77,35.368
15,79,37.99
15,81,37.496
15,82,40.839
15,84,45.556
