customer_id,income
1560294,0
1574361,0
1610452,0
1643155,0
1643540,0
1656116,0
1660196,0
1674059,0
1679681,0
1694084,0
1703784,0
1707740,0
1708806,0
1709539,0
1718264,0
1724397,0
1729373,0
1731596,0
1733279,0
1737656,0
1763718,0
1764195,0
1773257,0
1783498,0
1793978,0
1793994,0
1806952,0
1828947,0
1829172,0
1830121,0
1839784,0
1841310,0
1853366,0
1853544,0
1859838,0
1861673,0
1862932,0
1872555,0
1876626,0
1876634,0
1879828,0
1886199,0
1889086,0
1898805,0
1904798,0
1906873,0
1911058,0
1912606,0
1936215,0
1948526,0
1955639,0
1979431,0
1987702,0
1991854,0
1993959,0
1995459,0
2025725,0
2035046,0
2042996,0
2049492,0
2055938,0
2057970,0
2058920,0
2059656,0
2060457,0
2068596,0
2077106,0
2085884,0
2093422,0
2106148,0
2117046,0
2137094,0
2153845,0
2156810,0
2182296,0
2186187,0
2188999,0
2192947,0
2209006,0
2228583,0
2235363,0
2264296,0
2264664,0
2265502,0
2268361,0
2287679,0
2290893,0
2294853,0
2304990,0
2311280,0
2321311,0
2337818,0
2358910,0
2361965,0
2362052,0
2363388,0
2363411,0
2369685,0
2374918,0
2391497,0
2391766,0
2392903,0
2400995,0
2403179,0
2408363,0
2416559,0
2422796,0
2425503,0
2435465,0
2452428,0
2486642,0
2497034,0
2501837,0
2506701,0
2515342,0
2520701,0
2521555,0
2526402,0
2534188,0
2547575,0
2548480,0
2576146,0
2578949,0
2580057,0
2602171,0
2602239,0
2604830,0
2606408,0
2608421,0
2617555,0
2636395,0
2659200,0
2666469,0
2676300,0
2676673,0
2679511,0
2699637,0
2703214,0
2703911,0
2716026,0
2725576,0
2746282,0
2747726,0
2749842,0
2756444,0
2756779,0
2758958,0
2769851,0
2775150,0
2786222,0
2805113,0
2810665,0
2819011,0
2819293,0
2835107,0
2836667,0
2849565,0
2853272,0
2856262,0
2867095,0
2867452,0
2870911,0
2872675,0
2879387,0
2881555,0
2891472,0
2900406,0
2903218,0
2905543,0
2906234,0
2934009,0
2949796,0
2950835,0
2957890,0
2980147,0
2986277,0
2995112,0
3021646,0
3024007,0
3026284,0
3033549,0
3048504,0
3078241,0
3092626,0
3095217,0
3101467,0
3104913,0
3109128,0
3118120,0
3124017,0
3137088,0
3140409,0
3140590,0
3142913,0
3147815,0
3156587,0
3162207,0
3178378,0
3195504,0
3195542,0
3199479,0
3208498,0
3214518,0
3225700,0
3225701,0
3228499,0
3229535,0
3232492,0
3233772,0
3246848,0
3263579,0
3281708,0
3282407,0
3283096,0
3287343,0
3301557,0
3302382,0
3304172,0
3308956,0
3311706,0
3313557,0
3319884,0
3326225,0
3331716,0
3334637,0
3335555,0
3342757,0
3348755,0
3350511,0
3351735,0
3363211,0
3365184,0
3366398,0
3379244,0
3380760,0
3382387,0
3382453,0
3383614,0
3393490,0
3401629,0
3401780,0
3417603,0
3420072,0
3423236,0
3430932,0
3456114,0
3456571,0
3460700,0
3464966,0
3476747,0
3476921,0
3500720,0
3502653,0
3503350,0
3508618,0
3509336,0
3509386,0
3512638,0
3515533,0
3521337,0
3521345,0
3521358,0
3523500,0
3564439,0
3570514,0
3601187,0
3633938,0
3642048,0
3642405,0
3657723,0
3670171,0
3671348,0
3681088,0
3683242,0
3704643,0
3705884,0
3723222,0
3731246,0
3731660,0
3738274,0
3744392,0
3756529,0
3784757,0
3786168,0
3788298,0
3788329,0
3788375,0
3789735,0
3806898,0
3808047,0
3815277,0
3823727,0
3836747,0
3838514,0
3841222,0
3841439,0
3841464,0
3841533,0
3842498,0
3842810,0
3849391,0
3866624,0
3867546,0
3872136,0
3889854,0
3891753,0
3896052,0
3905924,0
3907103,0
3910216,0
3916970,0
3920068,0
3927105,0
3927211,0
3929714,0
3939039,0
3950637,0
3954748,0
3962357,0
3968377,0
