customer_id,gender,marital,education,job_status,income,age
5849515,M,MARRIED,UNEDUCATED,UNEMPLOYED,400,35
5906049,M,MARRIED,COLLEGE,UNEMPLOYED,0,61
5949755,M,MARRIED,UNIVERSITY,UNEMPLOYED,0,47
6176704,M,MARRIED,UNEDUCATED,UNEMPLOYED,1300,43
6194577,M,MARRIED,HIGH SCHOOL,UNEMPLOYED,6510,51
6279719,F,MARRIED,MASTERS,UNEMPLOYED,0,34
6403978,F,MARRIED,UNIVERSITY,UNEMPLOYED,0,37
6404052,M,MARRIED,COLLEGE,UNEMPLOYED,0,41
6452894,F,MARRIED,COLLEGE,UNEMPLOYED,1500,47
6461675,M,MARRIED,UNEDUCATED,UNEMPLOYED,2300,35
6507376,M,MARRIED,MIDDLE SCHOOL,UNEMPLOYED,1500,44
6524129,M,MARRIED,COLLEGE,UNEMPLOYED,3500,35
6528036,M,MARRIED,UNEDUCATED,UNEMPLOYED,4000,52
6541638,F,MARRIED,COLLEGE,UNEMPLOYED,1000,33
6588205,M,MARRIED,UNEDUCATED,UNEMPLOYED,0,41
6710710,M,MARRIED,UNIVERSITY,UNEMPLOYED,4000,33
6776819,F,MARRIED,COLLEGE,UNEMPLOYED,1500,47
6797863,M,MARRIED,UNIVERSITY,UNEMPLOYED,6050,51
6798511,M,MARRIED,MIDDLE SCHOOL,UNEMPLOYED,3500,35
6889362,M,MARRIED,UNEDUCATED,UNEMPLOYED,2000,47
6947054,M,MARRIED,COLLEGE,UNEMPLOYED,0,34
7002631,M,MARRIED,UNEDUCATED,UNEMPLOYED,10000,55
7156796,M,MARRIED,HIGH SCHOOL,UNEMPLOYED,6000,47
7274870,M,MARRIED,UNEDUCATED,UNEMPLOYED,3000,64
7534831,M,MARRIED,MIDDLE SCHOOL,UNEMPLOYED,0,40
7909448,M,MARRIED,COLLEGE,UNEMPLOYED,400,47
7982429,F,MARRIED,COLLEGE,UNEMPLOYED,0,43
8012045,M,MARRIED,MASTERS,UNEMPLOYED,0,55
8065559,M,MARRIED,UNIVERSITY,UNEMPLOYED,0,36
8169776,M,MARRIED,MASTERS,UNEMPLOYED,5000,48
8175064,F,MARRIED,COLLEGE,UNEMPLOYED,1200,38
