districtID,NAME,所属省,区县,经济,Area_km2,province,city,county,town2010,Popu,Popu_float,Area_COMP,Pop_Sum,Dens_Pob
45,右安门街道,北京市,丰台区,751.748251748252,3.74959000000,北京市,北京市,丰台区,右安门街道,83936,23188,3.74959000000,107124,28569.50000000000
46,河北镇,北京市,房山区,10.3,68.78920000000,北京市,北京市,房山区,河北镇,19877,1481,68.78920000000,21358,310.48500000000
47,宛平地区,北京市,丰台区,338.286713286713,20.99470000000,北京市,北京市,丰台区,宛平城地区,49180,24845,20.99470000000,74025,3525.89000000000
48,潘家园街道,北京市,朝阳区,390.854473029523,2.47327000000,北京市,北京市,朝阳区,潘家园街道,113115,26602,2.47327000000,139717,56490.80000000000
49,张家湾镇,北京市,通州区,513.8,105.45700000000,北京市,北京市,通州区,张家湾镇,89273,27539,105.45700000000,116812,1107.67000000000
50,白纸坊街道,北京市,西城区,1157,3.06226000000,北京市,北京市,西城区,白纸坊街道,95737,19579,3.06225000000,115316,37657.30000000000
51,陶然亭街道,北京市,西城区,437,2.32325000000,北京市,北京市,西城区,陶然亭街道,43455,9716,2.32325000000,53171,22886.50000000000
52,王佐镇,北京市,丰台区,225.524475524476,112.57700000000,北京市,北京市,丰台区,王佐镇,53808,17586,112.57700000000,71394,634.17900000000
53,牛街街道,北京市,西城区,3553,1.47673000000,北京市,北京市,西城区,牛街街道,51877,11078,1.47673000000,62955,42631.40000000000
54,天桥街道,北京市,西城区,245,1.76014000000,北京市,北京市,西城区,天桥街道,46385,12482,1.76014000000,58867,33444.50000000000
55,永顺镇,北京市,通州区,925.3,2.92672000000,,,,,18140,7864,2.92672000000,26004,8885.03000000000
56,王四营地区（乡）,北京市,朝阳区,2507.98286860611,14.68420000000,北京市,北京市,朝阳区,王四营地区,84394,62236,14.68420000000,146630,9985.56000000000
57,梨园镇,北京市,通州区,1217.3,19.09510000000,北京市,北京市,通州区,梨园地区,140520,62556,19.09510000000,203076,10635.00000000000
58,天坛街道,北京市,东城区,476.6,7.44554000000,北京市,北京市,东城区,天坛街道,50304,10139,7.44554000000,60443,8118.01000000000
59,体育馆路街道,北京市,东城区,288.4,1.90630000000,北京市,北京市,东城区,体育馆路街道,40303,7751,1.90630000000,48054,25208.00000000000
60,龙潭街道,北京市,东城区,539.1,3.08696000000,北京市,北京市,东城区,龙潭街道,56257,10221,3.08696000000,66478,21535.10000000000
61,豆各庄地区（乡）,北京市,朝阳区,617.99577862782,13.93060000000,北京市,北京市,朝阳区,豆各庄地区,32535,16898,13.93060000000,49433,3548.52000000000
62,黑庄户地区（乡）,北京市,朝阳区,1263.41994132789,24.66290000000,北京市,北京市,朝阳区,黑庄户地区,57257,33467,24.66290000000,90724,3678.56000000000
63,花乡乡,北京市,丰台区,2443.18181818182,98.55930000000,北京市,北京市,丰台区,卢沟桥街道,181666,67955,98.55930000000,249621,2532.70000000000
64,广安门外街道,北京市,西城区,3511,5.42859000000,北京市,北京市,西城区,广安门外街道,179536,53040,5.42859000000,232576,42842.80000000000
65,椿树街道,北京市,西城区,1834,1.06411000000,北京市,北京市,西城区,椿树街道,30547,7813,1.06411000000,38360,36048.90000000000
66,广安门内街道,北京市,西城区,13450,2.42886000000,北京市,北京市,西城区,广安门内街道,73692,16192,2.42886000000,89884,37006.70000000000
67,大栅栏街道,北京市,西城区,150,1.24219000000,北京市,北京市,西城区,大栅栏街道,36997,12801,1.24219000000,49798,40088.90000000000
68,前门街道,北京市,东城区,279.7,1.07284000000,北京市,北京市,东城区,前门街道,12924,3550,1.07284000000,16474,15355.50000000000
69,东花市街道,北京市,东城区,305.5,1.60184000000,北京市,北京市,东城区,东花市街道,52775,16318,1.60184000000,69093,43133.50000000000
70,玉桥街道,北京市,通州区,473,10.66160000000,北京市,北京市,通州区,玉桥街道,64482,17999,10.66160000000,82481,7736.27000000000
71,鲁谷街道,北京市,石景山区,1895.65088,7.23355000000,北京市,北京市,石景山区,鲁谷街道,95455,39325,7.23355000000,134780,18632.60000000000
72,八宝山街道,北京市,石景山区,186.73045,3.15968000000,北京市,北京市,石景山区,八宝山街道,53606,18245,3.15968000000,71851,22740.00000000000
73,史家营乡,北京市,房山区,11.1,112.44100000000,北京市,北京市,房山区,史家营乡,6300,535,112.44100000000,6835,60.78740000000
74,北苑街道,北京市,通州区,98.3,6.20801000000,北京市,北京市,通州区,北苑街道,73423,27784,6.20801000000,101207,16302.60000000000
75,融街街道,北京市,西城区,469053,3.94836000000,北京市,北京市,西城区,金融街街道,67888,16233,3.94836000000,84121,21305.30000000000
76,建国门街道,北京市,东城区,13190.2,2.68563000000,北京市,北京市,东城区,建国门街道,57170,21476,2.68563000000,78646,29284.00000000000
77,永定路街道,北京市,海淀区,483.1,0.14056100000,,,,,0,0,0.14056100000,0,0.00000000000
78,月坛街道,北京市,西城区,211812,4.16682000000,北京市,北京市,西城区,月坛街道,116543,26187,4.16682000000,142730,34253.90000000000
79,羊坊店街道,北京市,海淀区,77056.8,6.61515000000,北京市,北京市,海淀区,羊坊店街道,127134,31547,6.61515000000,158681,23987.50000000000
80,佛子庄乡,北京市,房山区,6,150.92100000000,北京市,北京市,房山区,佛子庄乡,8925,551,150.92100000000,9476,62.78780000000
81,万寿路街道,北京市,海淀区,5025.2,8.53780000000,北京市,北京市,海淀区,万寿路街道,172456,38850,8.53780000000,211306,24749.50000000000
82,永定路街道,北京市,海淀区,,1.41538000000,北京市,北京市,海淀区,永定路街道,49346,15024,1.41538000000,64370,45479.00000000000
83,老山街道,北京市,石景山区,231.03354,3.82279000000,北京市,北京市,石景山区,老山街道,42606,10879,3.82279000000,53485,13991.10000000000
84,西长安街道,北京市,西城区,12784,4.02453000000,北京市,北京市,西城区,西长安街街道,51477,17959,4.02453000000,69436,17253.20000000000
85,管庄地区（乡）,北京市,朝阳区,2342.55542717036,10.49740000000,北京市,北京市,朝阳区,管庄地区,105407,51606,10.49740000000,157013,14957.30000000000
86,东华门街道,北京市,东城区,5146.5,5.52892000000,北京市,北京市,东城区,东华门街道,61366,22643,5.52892000000,84009,15194.50000000000
87,朝阳门街道,北京市,东城区,19223.7,1.18674000000,北京市,北京市,东城区,朝阳门街道,36702,7084,1.18674000000,43786,36896.00000000000
88,大安山乡,北京市,房山区,1.2,63.32630000000,北京市,北京市,房山区,大安山乡,11217,4438,63.32630000000,15655,247.21200000000
89,新华街道,北京市,通州区,19.8,2.53108000000,北京市,北京市,通州区,新华街道,8891,884,2.53108000000,9775,3861.99000000000
90,潭柘寺镇,北京市,门头沟区,39,79.57750000000,北京市,北京市,门头沟区,潭柘寺镇,8672,886,79.57750000000,9558,120.10900000000
91,八角街道,北京市,石景山区,1312.02713,5.26320000000,北京市,北京市,石景山区,八角街道,116416,34405,5.26320000000,150821,28655.80000000000
92,高碑店地区（乡）,北京市,朝阳区,3566.5470663944,23.11350000000,北京市,北京市,朝阳区,高碑店地区,118094,59479,23.11350000000,177573,7682.65000000000
93,景山街道,北京市,东城区,1080,1.68409000000,北京市,北京市,东城区,景山街道,40308,9053,1.68409000000,49361,29310.20000000000
94,六里屯街道,北京市,朝阳区,1491.41838392844,3.03957000000,北京市,北京市,朝阳区,六里屯街道,107943,27939,3.03957000000,135882,44704.30000000000
95,团结湖街道,北京市,朝阳区,1200.84894016307,1.19046000000,北京市,北京市,朝阳区,团结湖街道,37674,9433,1.19046000000,47107,39570.40000000000
96,潞城镇,北京市,通州区,629.3,71.67890000000,北京市,北京市,通州区,潞城镇,72611,27294,71.67890000000,99905,1393.79000000000
97,东四街道,北京市,东城区,55834,1.50033000000,北京市,北京市,东城区,东四街道,43731,10750,1.50033000000,54481,36312.70000000000
98,永定镇,北京市,门头沟区,648.9,37.27560000000,北京市,北京市,门头沟区,永定镇,42446,10840,37.27560000000,53286,1429.51000000000
