district_id,economy,totalSales,totalPopularity,averageRating,categoryEntropy,averageCategoryDivergence,degreeCus,degreeDist,numberofCustomers,numberofShops,incomeEntropy,avgCusEntropy,fracofDessert,dessertCS,pairwise,cusEigen,dEigen,logEcon,avgExpenditure,averageTotalExpenditure,popres,popfloat,pop,Dens_Pob,HPI,econdse,area,logEcondse,popdse,logpopdse
6.0,280.5,58432.64408330001,1212.88847586,4.44397045519,1.9072839993200001,0.121354362277,0.113673733602,1.32220017106,2067.0,12.0,4.0096458000999995,0.60268655722,0.08333333333330001,0.0157238811908,0.137454828217,0.0104966362931,4.61645638939e-06,5.636573724962751,52.388197786694406,127.91852570320076,65574,25916,91.49,1401.34,3.066296877417073,2.5422627190268314,110.334780863,0.9330545187356294,0.8292036226872185,-0.18728952953567782
7.0,92.3,24420.655,,4.1423684210500005,1.21488965395,0.279787242069,0.20493336265,0.21323011625399999,2566.0,9.0,3.48999099521,0.528750142449,0.444444444444,0.225700133349,0.173164754359,0.029650785438900002,9.10871691555e-06,4.525044141508807,67.66824130900348,235.35580828594638,43712,14406,58.118,728.377,3.6659300346953656,0.6844113315553326,134.860420546,-0.3791961801822082,0.43094927158540436,-0.8417648951433088
10.0,100.6,6567.06,94.5353125,4.05,1.0397207708399998,0.290207134186,0.036682215498,1.6063722488499999,323.0,4.0,2.6895655817,0.372279339823,0.0,0.0421918903901,0.11936318438599999,0.0020237080139500004,6.998925071260001e-06,4.611152257665639,85.56788933481644,153.22569444444446,18978,4967,23.945,655.848,0.0,1.6285499238200027,61.772745513400004,0.4876900015860259,0.3876304962810136,-0.9477027222850403
14.0,226.2,2750.34,25.933688118800003,3.8687853107300003,0.6931471805600001,0.41354301178,0.0088558754345,0.6837748208329999,88.0,2.0,2.47804331657,0.539426221332,0.0,0.0565994033952,0.0667005023078,0.00084897890296,0.000898427024829,5.42141956368202,90.49125723673916,204.97590361445785,69157,35216,104.373,1489.57,0.0,1.9075471934403803,118.58160090499999,0.6458182248614468,0.8801787056629214,-0.1276303175097876
15.0,535.7,262554.59583299997,3574.91791707,4.56926094181,2.13354698995,0.14299597954399998,0.251443652001,0.770662567831,6144.0,53.0,5.5109058094000005,0.795146587621,0.11320754717,0.018649510178,0.20203624307,0.0388561359152,2.48319822506e-05,6.283574302886914,65.9766889470627,196.13697010640092,50917,11623,62.54,1605.15,4.82623588428985,8.128003930042846,65.90794057320001,2.09531537435506,0.9488993201136449,-0.05245257650215938
16.0,187.8,16685.715,30.812326336799998,4.78701807113,1.33217904021,0.31467871913600004,0.18310295293499998,1.41629636882,2114.0,5.0,3.6117829984699994,0.565587884285,0.4,0.17508224511300002,0.20041494997099998,0.0151341190309,5.03559842108e-06,5.235377566774162,65.7240161712336,170.09931506849315,48773,16067,64.84,1404.63,3.0007071666924485,2.403022545434714,78.15157637899999,0.8767273389136958,0.8296697648881088,-0.18672753099299141
18.0,648.7,21768.3875,311.19966196400003,4.36221269307,1.74786809747,0.147350045303,0.054865985771000006,1.9151033799000001,498.0,7.0,4.09597531815,0.595481701788,0.0,0.0505450369118,0.145539364387,0.00415446536768,9.496048378260001e-06,6.47497036021901,86.08686534906418,207.57630522088357,64757,12284,77.041,8820.4,4.335241210139002,43.83827245732382,14.797572158700001,3.7805072362366,5.206327036202689,1.6498746236932074
19.0,39.7,415.9175,,4.13916196616,0.0,0.814442811447,0.0648217127967,0.22542406607700002,387.0,2.0,4.1527490919300005,0.687149144889,0.0,0.0439265913106,0.12154791135399999,0.00743167035901,9.8032259625e-08,3.681351187693145,58.06750278129986,207.80898876404493,42840,8462,51.302,423.875,0.0,0.19384972591764504,204.79781341999998,-1.6406720287550556,0.25050072138607116,-1.384293478676649
20.0,920.1,2955445.98858,172707.077977,4.45324483959,2.12976802369,0.14469553273900002,0.417463066703,2.0883698275400002,57965.0,119.0,3.76071848612,0.35578327844999996,0.176470588235,0.0362600685945,0.263919699282,0.0702176948473,1.00622024298e-05,6.824482359788315,42.98033189283675,101.50332787779594,132320,32996,165.316,10464.7,4.3112196415548825,34.36815736874847,26.7718746201,3.537130477808309,6.174987831292275,1.820506911871172
21.0,505.2,1431065.7822,22602.442983099998,4.5988308489300005,1.84095667942,0.143617284162,0.355434588122,0.7879680210179999,9874.0,36.0,5.10225864394,0.6433150351420001,0.08333333333330001,0.022256201680299997,0.220384878593,0.0434190126531,1.35691980919e-06,6.224954390476336,62.08577385916028,162.89572247237004,96243,21721,117.964,1724.76,3.0318887980376124,4.362907416903495,115.79434347900002,1.473138673862117,1.0187371546468802,0.018563776557864394
23.0,479.2,467903.15025,7297.33905609,4.40898718379,2.07530680406,0.15017186071799998,0.359726858633,0.635528546535,16358.0,48.0,4.37535373744,0.48082779348099997,0.104166666667,0.0365545441279,0.232831141562,0.0584055518456,0.000155749433887,6.1721180468012395,56.531045815454576,127.12710650201271,107048,58086,165.134,1874.37,4.224171841506265,3.20963889425518,149.300284483,1.1661584368124982,1.1060528154506153,0.10079765553196243
26.0,358.2,1730723.8921700001,32092.7428213,4.55053094017,2.2652515489,0.16595481767200002,0.873830016774,1.80096655833,56350.0,128.0,5.05090059818,0.6098410430100001,0.1875,0.0397490037918,0.30361144063400003,0.15715675418800001,0.0007290031328560001,5.881091489626612,63.99418165794348,167.99742851066298,141355,104036,245.391,2335.77,7.496453117058185,2.0118899604236766,178.041546529,0.6990745591035189,1.378279422887567,0.32083592626455526
