districtID	economy	totalSales	totalPopularity	averageRating	categoryEntropy	averageCategoryDivergence	degreeCus	degreeDist	numberofCustomers	numberofShops	incomeEntropy	avgCusEntropy	fracofDessert	dessertCS	pairwise	cusEigen	dEigen
6.0	280.5	58432.6440833	1212.88847586	4.44397045519	1.90728399932	0.121354362277	0.113673733602	1.32220017106	2067.0	12.0	4.0096458001	0.60268655722	0.0833333333333	0.0157238811908	0.137454828217	0.0104966362931	4.61645638939e-06
7.0	92.3	24420.655		4.14236842105	1.21488965395	0.279787242069	0.20493336265	0.213230116254	2566.0	9.0	3.48999099521	0.528750142449	0.444444444444	0.225700133349	0.173164754359	0.0296507854389	9.10871691555e-06
9.0		4378.03	75.8620488467	3.94978723404	0.69314718056	0.397700122649	0.0376773748718	1.38192645183	128.0	2.0	3.29559994604	0.627797959681	0.0	0.0462815723046	0.128027823715	0.00164375682638	4.53725050257e-06
10.0	100.6	6567.06	94.5353125	4.05	1.03972077084	0.290207134186	0.036682215498	1.60637224885	323.0	4.0	2.6895655817	0.372279339823	0.0	0.0421918903901	0.119363184386	0.00202370801395	6.99892507126e-06
12.0		4029.63875	42.5168055555	4.89142773057	1.09861228867	0.299016884161	0.0901656980778	0.756571431302	416.0	3.0	4.12764700398	0.706188953254	0.333333333333	0.094327493077	0.128566420851	0.00487236823399	6.81555219164e-07
14.0	226.2	2750.34	25.9336881188	3.86878531073	0.69314718056	0.41354301178	0.0088558754345	0.683774820833	88.0	2.0	2.47804331657	0.539426221332	0.0	0.0565994033952	0.0667005023078	0.00084897890296	0.000898427024829
15.0	535.7	262554.595833	3574.91791707	4.56926094181	2.13354698995	0.142995979544	0.251443652001	0.770662567831	6144.0	53.0	5.5109058094	0.795146587621	0.11320754717	0.018649510178	0.20203624307	0.0388561359152	2.48319822506e-05
16.0	187.8	16685.715	30.8123263368	4.78701807113	1.33217904021	0.314678719136	0.183102952935	1.41629636882	2114.0	5.0	3.61178299847	0.565587884285	0.4	0.175082245113	0.200414949971	0.0151341190309	5.03559842108e-06
18.0	648.7	21768.3875	311.199661964	4.36221269307	1.74786809747	0.147350045303	0.054865985771	1.9151033799	498.0	7.0	4.09597531815	0.595481701788	0.0	0.0505450369118	0.145539364387	0.00415446536768	9.49604837826e-06
19.0	39.7	415.9175		4.13916196616	0.0	0.814442811447	0.0648217127967	0.225424066077	387.0	2.0	4.15274909193	0.687149144889	0.0	0.0439265913106	0.121547911354	0.00743167035901	9.8032259625e-08
20.0	920.1	2955445.98858	172707.077977	4.45324483959	2.12976802369	0.144695532739	0.417463066703	2.08836982754	57965.0	119.0	3.76071848612	0.35578327845	0.176470588235	0.0362600685945	0.263919699282	0.0702176948473	1.00622024298e-05
21.0	505.2	1431065.7822	22602.4429831	4.59883084893	1.84095667942	0.143617284162	0.355434588122	0.787968021018	9874.0	36.0	5.10225864394	0.643315035142	0.0833333333333	0.0222562016803	0.220384878593	0.0434190126531	1.35691980919e-06
22.0		8598.62666667	121.10741784	4.71096160158	0.0	1.0409341126	0.133543675144	0.613146012658	788.0	1.0	3.89105072528	0.66803866707	0.0	0.0641397402918	0.145630314188	0.0095726491302	5.52259673605e-07
23.0	479.2	467903.15025	7297.33905609	4.40898718379	2.07530680406	0.150171860718	0.359726858633	0.635528546535	16358.0	48.0	4.37535373744	0.480827793481	0.104166666667	0.0365545441279	0.232831141562	0.0584055518456	0.000155749433887
25.0		7388.7025	194.932181705	4.34300868486	1.41848366195	0.156489132284	0.0326668734008	1.22200771471	555.0	10.0	3.77554455922	0.377746771171	0.0	0.0461384791197	0.1256202616	0.00390614457432	0.000353984729628
26.0	358.2	1730723.89217	32092.7428213	4.55053094017	2.2652515489	0.165954817672	0.873830016774	1.80096655833	56350.0	128.0	5.05090059818	0.60984104301	0.1875	0.0397490037918	0.303611440634	0.157156754188	0.000729003132856
27.0	187.937062937	6750.4025	138.639045662	4.00720957941	1.27703425947	0.215327502361	0.042564382623	3.41856057327	413.0	7.0	3.50020316248	0.486943740147	0.285714285714	0.0628152870257	0.096423194308	0.00513909947781	0.0251560096378
30.0	1002.9	1179022.17442	16479.5720494	4.45358554631	2.33014082927	0.150523877798	0.532130146848	1.43036105365	33054.0	95.0	4.26259132468	0.473644095457	0.115789473684	0.0220981452559	0.249041827425	0.0949770420363	7.97251242762e-06
31.0	476.3	1108046.32425	9632.64600931	4.50566293036	2.47979317416	0.155235744989	0.750598780685	1.81558437677	39670.0	136.0	5.24627843675	0.570408920341	0.139705882353	0.0311464649581	0.287742956222	0.135661694408	0.00254867702298
32.0	225.524475524	111136.335417	753.145293815	4.52184082658	2.34718082932	0.110307562164	0.24841963425	3.85631779575	6449.0	22.0	3.7651517545	0.40717414176	0.181818181818	0.0228947221619	0.182752242705	0.0396989242968	0.0335243090843
33.0	588.2	249011.15169	3930.01176731	4.5115023496	2.22476371196	0.134070570174	0.542440563301	4.65505879231	14315.0	78.0	5.13578073724	0.631053887772	0.153846153846	0.0384844692259	0.247523857145	0.0873056377864	0.0307493279716
34.0	150.34965035	2336.35	39.9594142857	4.6598019802	1.05492016799	0.31024560672	0.0410341707184	1.2977924298	288.0	5.0	3.22751475829	0.577816443471	0.0	0.041560552763	0.0809682549201	0.00259111128775	6.34645794877e-05
36.0	1811.98762277	4905.77583333	132.010490293	3.8590964591	1.54982604588	0.127846307126	0.0309925586358	5.15320588699	274.0	7.0	3.60534056218	0.509344205387	0.142857142857	0.0112080616447	0.115993410815	0.00329887902069	0.035081095559
