火锅,1233
小吃快餐,1219
甜点饮品,838
川湘菜,639
烧烤烤肉,466
日韩料理,370
其他美食,351
京菜鲁菜,314
西餐,250
自助餐,187
东北菜,139
海鲜,106
粤港菜,98
西北菜,71
江浙菜,61
云贵菜,49
新疆菜,42
东南亚菜,34
创意菜,31
农家乐,23
