Model,Root Mean Squared Error,Pseudo R2,Residual Deviance,Df Residual,Intercept,Alpha,Beta,Gamma
Poisson,3141.9318217390773,0.8003813942336085,1478850.994981891,1292.0,6.455943299856223,0.7651993700444493,2.3936328257366912,-1.6812236894644461
Negative Binomial,3765.940071851219,0.5997744609028799,1833.0647044827952,1292.0,4.352270146650728,0.8171910649060865,4.041558736128908,-1.4321453172873706
Gaussian,2472.310229911774,0.6229381346791787,1452.6202979922507,1291.0,4.5102810375396984e-17,0.9982488686602651,3.449585798871863,-1.9589125466370672
