district_i,,district_i,district_j,flow,id,workflow,totalflow,poi_sum_0_i,poi_sum_0_j,poi_diversity_0_i,poi_diversity_0_j,distance_ij,log_distance_ij,log_poi_sum_0_j,log_poi_diversity_0_j,totalflow_not_norm,log_geo_poi_sum_0_j,log_geo_poi_diversity_0_j,log_geo_distance_ij,log_geo_totalflow,geo_poi_sum_0_j,geo_poi_diversity_0_j,geo_distance_ij,geo_totalflow,prob,fitted_flow
2.0,0,2.0,2.0,15299.0,2_2,413.0,0.38176693556225094,5848,5848,0.9982328099234178,0.9982328099234178,10,2.302585092994046,8.673855001429615,-0.001768753399029032,15712.0,0.0034809931625181703,-0.2668095402875348,-2.0695341180812674,3.973136738854153,5827.678541934002,1.303484139756442,79.21131945941617,0.007182687145026939,0.3491896638824116,14371.249806744532
2.0,1,2.0,4.0,102.0,2_4,6.0,0.002624161726115269,5848,6970,0.9982328099234178,1.4590292273142274,90,4.499809670330265,8.84937050375457,0.37777130176921897,108.0,0.17899649548747332,0.11273051488071321,0.1276904592549518,-1.006912064615874,5827.678541934002,1.303484139756442,79.21131945941617,0.007182687145026939,0.015931995891654956,655.6972229169513
2.0,2,2.0,9.0,205.0,2_9,4.0,0.005078238895908252,5848,3687,0.9982328099234178,1.56043282325534,153,5.030437921392435,8.212568398234145,0.4449632335837941,209.0,-0.4578056100329517,0.17992244669528834,0.6583187103171221,-0.3467090397752827,5827.678541934002,1.303484139756442,79.21131945941617,0.007182687145026939,0.002794685835941772,115.01809026401956
2.0,3,2.0,12.0,673.0,2_12,65.0,0.017931771795121003,5848,6398,0.9982328099234178,0.9912271518317439,57,4.04305126783455,8.763740720509464,-0.008811556153214089,738.0,0.0933667122423672,-0.2738523430417198,-0.3290679432407632,0.9149005328603786,5827.678541934002,1.303484139756442,79.21131945941617,0.007182687145026939,0.009683769753155696,398.5452279608758
2.0,4,2.0,15.0,27.0,2_15,1.0,0.0006803382252891437,5848,1196,0.9982328099234178,1.555766917161011,153,5.030437921392435,7.086737934510577,0.44196861836661705,28.0,-1.5836360737565192,0.1769278314781114,0.6583187103171221,-2.35683878156489,5827.678541934002,1.303484139756442,79.21131945941617,0.007182687145026939,0.0006122820172940364,25.199078703753365
2.0,5,2.0,17.0,1370.0,2_17,25.0,0.03389542229565556,5848,6771,0.9982328099234178,1.5755095367740095,104,4.6443908991413725,8.820404065485645,0.4545787353698389,1395.0,0.15003005721854923,0.1895379484813331,0.2722716880660593,1.5516064025153724,5827.678541934002,1.303484139756442,79.21131945941617,0.007182687145026939,0.014758503443338143,607.4009677140247
2.0,6,2.0,31.0,80.0,2_31,1.0,0.0019681212945864513,5848,3183,0.9982328099234178,1.4009962672156087,154,5.0369526024136295,8.065579427282092,0.3371836029798777,81.0,-0.6047945809850035,0.07214281609137203,0.6648333913383159,-1.294594137067655,5827.678541934002,1.303484139756442,79.21131945941617,0.007182687145026939,0.001554133985435541,63.961938304585125
2.0,7,2.0,33.0,213.0,2_33,24.0,0.005758577121197395,5848,7137,0.9982328099234178,1.5853107163217366,60,4.0943445622221,8.873047798971067,0.46078042365100813,237.0,0.20267379070397123,0.19573963676250233,-0.2777746488532126,-0.22098315060496257,5827.678541934002,1.303484139756442,79.21131945941617,0.007182687145026939,0.05179433123083964,2131.647496136436
2.0,8,2.0,34.0,6032.0,2_34,76.0,0.14841092428807465,5848,6793,0.9982328099234178,1.455698045010921,51,3.9318256327243257,8.823647949191303,0.37548554159858194,6108.0,0.15327394092420568,0.11044475471007612,-0.4402935783509876,3.0283113745984296,5827.678541934002,1.303484139756442,79.21131945941617,0.007182687145026939,0.05076207054442618,2089.1637753264035
2.0,9,2.0,38.0,17.0,2_38,2.0,0.0004616580814462047,5848,2966,0.9982328099234178,1.352242775406721,127,4.844187086458591,7.994969522697877,0.30176452910896057,19.0,-0.6754044855692188,0.036723742220454846,0.47206787538327794,-2.744604312573653,5827.678541934002,1.303484139756442,79.21131945941617,0.007182687145026939,0.0018784007276685278,77.30746034792593
2.0,10,2.0,42.0,437.0,2_42,24.0,0.011201282923510546,5848,5839,0.9982328099234178,1.250122566293173,93,4.532599493153256,8.672314828283538,0.22324159954186357,461.0,0.0019408200164414077,-0.041799187346642196,0.16048028207794268,0.4443547512565547,5827.678541934002,1.303484139756442,79.21131945941617,0.007182687145026939,0.006838222486772456,281.4338846656072
2.0,11,2.0,50.0,205.0,2_50,7.0,0.005151132277189231,5848,14341,0.9982328099234178,1.3022053814164343,116,4.7535901911063645,9.570877846729212,0.26405927436963,212.0,0.9005038384621161,-0.0009815125188757461,0.3814709800310514,-0.33245701706808134,5827.678541934002,1.303484139756442,79.21131945941617,0.007182687145026939,0.01646199910370001,677.5100351118775
2.0,12,2.0,53.0,531.0,2_53,31.0,0.013655360093303528,5848,4591,0.9982328099234178,1.6085120847081928,75,4.31748811353631,8.431853144249223,0.4753095806983718,562.0,-0.23852086401787417,0.21026879380986616,-0.054631097539002915,0.6424585581535973,5827.678541934002,1.303484139756442,79.21131945941617,0.007182687145026939,0.01882453155610025,774.742420722862
2.0,13,2.0,59.0,146.0,2_59,6.0,0.0036932646515696376,5848,6876,0.9982328099234178,1.7777575101695655,98,4.584967478670572,8.83579236650274,0.5753527443089559,152.0,0.16541835823564374,0.3103119574204502,0.21284826759525866,-0.6651627708938173,5827.678541934002,1.303484139756442,79.21131945941617,0.007182687145026939,0.026039564374603606,1071.684311401186
